UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,4.2,2020,9,4114609,2110226,2004383,1505485,1425995,319994,308450,34047,33065,119302,112546,6655,6286,124743,118041,1620127,1534351,386753,372108,58976,56967,165874,156111,15690,14718,1562767,1479274,1040663,980627,288608,277912,17112,16450,112759,106369,4370,4136,99255,93780,1132279,1067075,342356,329091,33296,31984,151579,142639,11030,10355,547459,525109,464822,445368,31386,30538,16935,16615,6543,6177,2285,2150,25488,24261,487848,467276,44397,43017,25680,24983,14295,13472,4660,4363
R,4.2,2020,10,4212820,2157603,2055217,1548586,1467735,325961,315245,34077,32895,117961,112735,6465,6295,124553,120312,1663358,1578317,392920,380541,59095,57338,163717,156471,15217,14726,1592347,1513787,1065921,1005614,294336,284899,17620,17110,111558,106627,4346,4192,98566,95345,1157155,1093610,348097,337223,33646,32916,149492,143092,10787,10388,565256,541430,482665,462121,31625,30346,16457,15785,6403,6108,2119,2103,25987,24967,506203,484707,44823,43318,25449,24422,14225,13379,4430,4338
R,4.2,2020,11,4322026,2212960,2109066,1592619,1511681,336759,325990,34849,33333,118888,113421,6645,6528,123200,118113,1705805,1620368,403147,390155,59881,56786,163733,156141,15308,14848,1637655,1559278,1099749,1041126,305063,295190,18053,17431,112421,107356,4514,4432,97855,93743,1189977,1127771,358608,347049,34175,32400,149878,142954,10952,10532,575305,549788,492870,470555,31696,30800,16796,15902,6467,6065,2131,2096,25345,24370,515828,492597,44539,43106,25706,24386,13855,13187,4356,4316
R,4.2,2020,12,4453398,2281474,2171924,1646263,1559568,345684,335040,36174,34703,123319,117454,6751,6562,123283,118597,1759430,1668397,411721,399811,61262,58894,168348,159865,15652,14870,1686952,1605432,1135384,1073343,313438,304072,18601,18208,116974,111419,4576,4355,97979,94035,1225688,1159925,366860,356364,34746,33695,154530,146706,11153,10481,594522,566492,510879,486225,32246,30968,17573,16495,6345,6035,2175,2207,25304,24562,533742,508472,44861,43447,26516,25199,13818,13159,4499,4389
R,4.2,2020,13,4431685,2269414,2162271,1645286,1561858,342537,330625,36542,34586,119771,114626,6657,6484,118621,114092,1754243,1666488,405672,392125,60941,58260,163356,155629,15279,14640,1681375,1599958,1139430,1078178,310973,300187,18730,18031,113371,108693,4559,4328,94312,90541,1226404,1161512,361983,350039,34522,33242,149707,142857,10917,10326,588039,562313,505856,483680,31564,30438,17812,16555,6400,5933,2098,2156,24309,23551,527839,504976,43689,42086,26419,25018,13649,12772,4362,4314
R,4.2,2020,14,4332210,2216085,2116125,1617979,1534941,327873,320005,34963,33610,117130,113791,6471,6387,111669,107391,1720351,1633347,386791,377215,58587,56126,158094,153010,14511,13995,1649881,1574437,1129061,1066930,298240,291409,18103,17745,111167,108296,4380,4356,88930,85701,1210852,1145686,346063,337966,33377,32285,145489,141176,10371,10017,566204,541688,488918,468011,29633,28596,16860,15865,5963,5495,2091,2031,22739,21690,509499,487661,40728,39249,25210,23841,12605,11834,4140,3978
R,4.2,2020,15,4295620,2197014,2098606,1608825,1525741,321692,312219,34410,33054,119035,117994,6518,6187,106534,103411,1706312,1620198,376764,366166,57449,55377,158881,156084,14258,13731,1645109,1571184,1130726,1069409,293215,284729,18132,17313,113250,112511,4528,4340,85258,82882,1209061,1145339,337989,328768,33227,31962,146847,144645,10311,10038,551905,527422,478099,456332,28477,27490,16278,15741,5785,5483,1990,1847,21276,20529,497251,474859,38775,37398,24222,23415,12034,11439,3947,3693
R,4.2,2020,16,4332482,2213731,2118751,1629783,1547680,320541,312772,33546,32818,119927,119073,6280,5978,103654,100430,1724708,1639642,373686,364637,56513,55038,158475,156165,13873,13258,1670501,1596806,1158316,1095000,292765,286182,17872,17314,114233,113670,4391,4171,82924,80469,1234514,1168924,336011,328464,33016,32047,146672,144955,10088,9592,543230,521945,471467,452680,27776,26590,15674,15504,5694,5403,1889,1807,20730,19961,490194,470718,37675,36173,23497,22991,11803,11210,3785,3666
R,4.2,2020,17,4273960,2184479,2089481,1609059,1526099,318030,311284,33449,32081,119846,118930,6234,5892,97861,95195,1698278,1612907,367989,360095,55643,53771,156123,154083,13665,12978,1650848,1577403,1145313,1080673,290605,285475,17687,17172,114345,113712,4401,4130,78497,76241,1217124,1150465,331366,325322,32404,31564,144945,143224,9986,9505,533631,512078,463746,445426,27425,25809,15762,14909,5501,5218,1833,1762,19364,18954,481154,462442,36623,34773,23239,22207,11178,10859,3679,3473
R,4.2,2020,18,4296368,2194651,2101717,1615211,1535507,324355,317154,33410,31579,119937,118243,5997,5853,95741,93381,1702539,1620447,372994,365078,55973,53839,154985,152134,13118,12836,1666970,1597291,1156283,1096343,297446,291719,17891,17168,114634,113143,4195,4059,76521,74859,1226267,1164689,337057,330854,32801,32058,144172,141713,9670,9384,527681,504426,458928,439164,26909,25435,15519,14411,5303,5100,1802,1794,19220,18522,476272,455758,35937,34224,23172,21781,10813,10421,3448,3452
