UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,4.2,2020,44,3934444,1967732,1966712,1502009,1454557,253466,281677,26998,25177,142013,159166,5545,5297,37701,40838,1534434,1489343,266472,296909,41397,40718,157118,175388,9702,9609,1543539,1561839,1124697,1096743,235305,261326,13759,13815,137942,155014,3983,3900,27853,31041,1148373,1122912,243983,272067,23448,24753,150677,168781,7276,7372,424193,404873,377312,357814,18161,20351,13239,11362,4071,4152,1562,1397,9848,9797,386061,366431,22489,24842,17949,15965,6441,6607,2426,2237
R,4.2,2020,45,3953608,1977594,1976014,1515627,1468157,251798,280525,26763,24989,142543,158355,5676,5068,35187,38920,1545519,1501149,263800,294936,40661,40064,156550,173789,9658,9082,1558958,1576759,1141138,1113344,234874,261534,13581,13893,138640,154467,4113,3755,26612,29766,1163494,1138298,243227,271716,23121,24500,150679,167762,7352,7009,418636,399255,374489,354813,16924,18991,13182,11096,3903,3888,1563,1313,8575,9154,382025,362851,20573,23220,17540,15564,5871,6027,2306,2073
R,4.2,2020,46,3887997,1942339,1945658,1488055,1443686,247715,277565,25927,24632,141263,157186,5225,4979,34154,37610,1517094,1475426,259123,291324,39453,39297,154998,172184,9109,9003,1541157,1557319,1128765,1098177,231503,259098,13388,13743,137671,153461,3852,3720,25978,29120,1150595,1122487,239392,268971,22812,24350,149487,166411,7030,6975,401182,388339,359290,345509,16212,18467,12539,10889,3592,3725,1373,1259,8176,8490,366499,352939,19731,22353,16641,14947,5511,5773,2079,2028
R,4.2,2020,47,3976288,1985227,1991061,1522187,1479626,256483,286615,25952,24820,141335,157665,5176,4950,34094,37385,1551077,1511149,267476,300076,39753,39844,155088,172405,8993,8885,1588127,1606215,1165932,1137033,240708,268642,13660,13977,137720,153861,3882,3683,26225,29019,1187889,1161194,248396,278403,23464,24936,149677,166588,6994,6922,397100,384846,356255,342593,15775,17973,12292,10843,3615,3804,1294,1267,7869,8366,363188,349955,19080,21673,16289,14908,5411,5817,1999,1963
R,4.2,2020,48,4189834,2096311,2093523,1625140,1574896,265573,295347,26345,25108,140038,155583,5292,4862,33923,37727,1653825,1606684,276413,308621,40546,40699,153421,170271,9074,8903,1702419,1712075,1271906,1234772,249962,277669,14171,14513,136308,151972,3919,3662,26153,29487,1293751,1259309,257565,287239,24393,26039,147929,164764,7018,7015,393892,381448,353234,340124,15611,17678,12174,10595,3730,3611,1373,1200,7770,8240,360074,347375,18848,21382,16153,14660,5492,5507,2056,1888
R,4.2,2020,49,4430731,2221392,2209339,1737660,1676846,277712,309228,27087,25971,138499,153782,5099,5083,35335,38429,1767610,1709171,289003,322703,42032,42241,152193,168417,9207,9356,1826946,1830414,1383696,1339640,262022,291402,14965,15186,134869,150104,3797,3810,27597,30272,1406838,1364841,270075,301237,25967,27460,146741,162745,7182,7341,394446,378925,353964,337206,15690,17826,12122,10785,3630,3678,1302,1273,7738,8157,360772,344330,18928,21466,16065,14781,5452,5672,2025,2015
R,4.2,2020,50,4278842,2144155,2134687,1680184,1627517,267316,294077,26151,24662,131677,147483,5324,5039,33503,35909,1708405,1657476,277866,306419,40698,40276,144467,161182,9337,9136,1762359,1771305,1337935,1303149,252128,277382,14306,14668,128140,143895,3989,3875,25861,28336,1359441,1326549,259481,286408,24910,26498,139192,155701,7307,7280,381796,363382,342249,324368,15188,16695,11845,9994,3537,3588,1335,1164,7642,7573,348964,330927,18385,20011,15788,13778,5275,5481,2030,1856
R,4.2,2020,51,4146645,2074270,2072375,1631290,1586794,254038,280736,25170,23720,128329,142932,4650,4780,30793,33413,1657353,1614707,263257,291983,39047,38730,139939,155354,8268,8582,1715659,1729294,1309506,1280783,239624,264844,14094,14172,125086,139640,3487,3595,23862,26260,1329481,1302462,245970,272935,24412,25568,135142,150434,6460,6769,358611,343081,321784,306011,14414,15892,11076,9548,3243,3292,1163,1185,6931,7153,327872,312245,17287,19048,14635,13162,4797,4920,1808,1813
R,4.2,2020,52,4056424,2025638,2030786,1595939,1555202,253067,281344,24355,23583,118295,133993,4673,4650,29309,32014,1620606,1581807,261894,292102,37767,38125,129307,145720,8032,8484,1675874,1695182,1282124,1255520,238752,265639,13631,14386,115214,130903,3486,3565,22667,25169,1300935,1276193,244796,273345,23574,25490,124755,141024,6322,6776,349764,335604,313815,299682,14315,15705,10724,9197,3081,3090,1187,1085,6642,6845,319671,305614,17098,18757,14193,12635,4552,4696,1710,1708
R,4.2,2020,53,4108807,2043883,2064924,1618951,1593255,254008,284949,24066,23560,113534,127298,4795,4606,28529,31256,1642757,1619170,262549,295559,37424,38139,124073,138440,8285,8239,1706258,1738386,1315380,1301466,240464,269833,13894,14744,110570,124298,3657,3506,22293,24539,1333713,1321561,246339,277438,24027,25876,119687,133900,6613,6564,337625,326538,303571,291789,13544,15116,10172,8816,2964,3000,1138,1100,6236,6717,309044,297609,16210,18121,13397,12263,4386,4540,1672,1675
R,4.2,2020,54,4179596,2075891,2103705,1641612,1621646,262465,293616,24437,23885,114435,128790,4614,4570,28328,31198,1665183,1647498,270894,303864,38077,38824,124594,139861,8098,8284,1742778,1781965,1342636,1334452,248725,278475,14273,15115,111533,125718,3544,3592,22067,24613,1360726,1354574,254511,285842,24645,26739,120319,135231,6471,6692,333113,321740,298976,287194,13740,15141,10164,8770,2902,3072,1070,978,6261,6585,304457,292924,16383,18022,13432,12085,4275,4630,1627,1592
R,4.2,2020,55,4360469,2155269,2205200,1715154,1712994,267974,302240,24888,24807,113682,128454,4722,4801,28849,31904,1739208,1739339,276276,312575,39088,40539,124017,139446,8200,8603,1829322,1885613,1422341,1427478,254713,287302,15087,16148,110807,125515,3692,3770,22682,25400,1440979,1448153,260442,294773,25986,28570,119796,135043,6614,6998,325947,319587,292813,285516,13261,14938,9801,8659,2875,2939,1030,1031,6167,6504,298229,291186,15834,17802,13102,11969,4221,4403,1586,1605
R,4.2,2020,56,4429415,2188876,2240539,1751555,1750358,264693,297643,24448,24630,115056,131505,4484,4611,28640,31792,1775330,1776558,272709,307554,38891,40539,125210,142485,8058,8469,1877714,1931615,1472403,1474690,251667,283178,15070,16067,112320,128648,3493,3629,22761,25403,1491090,1495360,257279,290324,26343,28782,121148,138111,6520,6872,311162,308924,279152,275668,13026,14465,9378,8563,2736,2857,991,982,5879,6389,284240,281198,15430,17230,12548,11757,4062,4374,1538,1597
R,4.2,2020,57,4425245,2179551,2245694,1747661,1761161,261234,295600,24065,24329,114118,128664,4339,4555,28134,31385,1771182,1786964,268876,305447,38167,40367,124177,139253,7721,8256,1881278,1946448,1479571,1493746,249008,281926,15094,16059,111476,125910,3412,3639,22717,25168,1498349,1514161,254394,289026,26365,28879,120304,135122,6328,6766,298273,299246,268090,267415,12226,13674,8971,8270,2642,2754,927,916,5417,6217,272833,272803,14482,16421,11802,11488,3873,4131,1393,1490
R,4.2,2020,58,4458699,2194468,2264231,1777326,1791909,257417,293831,23763,24360,103718,118827,4339,4334,27905,30970,1800591,1817280,264910,303568,38063,40518,113582,129167,7783,7957,1908121,1978736,1519926,1536906,245742,280906,15194,16361,101263,116149,3496,3445,22500,24969,1538513,1557141,250997,287969,26612,29468,109884,125091,6415,6483,286347,285495,257400,255003,11675,12925,8569,7999,2455,2678,843,889,5405,6001,262078,260139,13913,15599,11451,11050,3698,4076,1368,1474
R,4.2,2020,59,4424892,2171272,2253620,1758660,1784401,255099,291273,23024,23782,102929,119969,4173,4298,27387,29897,1781499,1808918,262266,300320,37234,39537,112596,130021,7454,7872,1899336,1977748,1514419,1537309,244019,278831,14772,16366,100494,117366,3366,3486,22266,24390,1532738,1557063,249155,285528,26198,29251,109035,126120,6162,6538,271936,275872,244241,247092,11080,12442,8252,7416,2435,2603,807,812,5121,5507,248761,251855,13111,14792,11036,10286,3561,3901,1292,1334
R,4.2,2020,60,4349443,2132547,2216896,1725618,1752513,251726,288973,22389,23342,101870,118635,4215,4066,26729,29367,1747965,1776500,258786,298094,36267,38993,111339,128238,7407,7516,1871056,1953099,1490811,1516851,240959,276826,14579,16123,99556,116158,3377,3273,21774,23868,1508870,1536086,245977,283585,25781,28903,107905,124468,6078,6189,261491,263797,234807,235662,10767,12147,7810,7219,2314,2477,838,793,4955,5499,239095,240414,12809,14509,10486,10090,3434,3770,1329,1327
R,4.2,2020,61,4281625,2088537,2193088,1699694,1744138,240954,279042,20738,22155,98207,116258,3804,3851,25140,27644,1720638,1766862,247483,287251,34079,37274,106898,125239,6721,6988,1849732,1945571,1485221,1522580,230876,267656,13795,15413,96102,113999,3094,3165,20644,22758,1502272,1541106,235539,273731,24746,27960,103762,121878,5579,5871,238805,247517,214473,221558,10078,11386,6943,6742,2105,2259,710,686,4496,4886,218366,225756,11944,13520,9333,9314,3136,3361,1142,1117
R,4.2,2020,62,4255040,2070884,2184156,1691459,1745425,233856,272039,20457,21676,96692,114162,3661,3773,24759,27081,1712018,1767526,240269,280263,33751,36577,105247,122800,6540,6857,1841873,1944228,1485848,1530368,224333,261156,13614,15318,94632,112075,3005,3066,20441,22245,1502661,1548306,228992,267296,24596,27644,102242,119606,5456,5716,229011,239928,205611,215057,9523,10883,6843,6358,2060,2087,656,707,4318,4836,209357,219220,11277,12967,9155,8933,3005,3194,1084,1141
R,4.2,2020,63,4111592,1992285,2119307,1630251,1693173,222290,264906,19409,20636,93605,111141,3497,3467,23233,25984,1649585,1714562,228334,272607,32151,35373,101379,119071,6153,6439,1778453,1891989,1438413,1489639,213264,254399,12949,14628,91749,109061,2844,2874,19234,21388,1454255,1507026,217648,260061,23501,26941,98681,115990,5145,5410,213832,227318,191838,203534,9026,10507,6460,6008,1856,2080,653,593,3999,4596,195330,207536,10686,12546,8650,8432,2698,3081,1008,1029
R,4.2,2020,64,3986448,1919654,2066794,1573742,1653679,210964,254313,18454,20214,91235,110179,3184,3517,22075,24892,1592116,1673973,216683,261754,30480,34263,98611,117998,5745,6301,1716333,1847036,1391279,1456854,202338,244295,12338,14413,89465,108136,2633,2905,18280,20433,1406347,1473327,206445,249750,22293,26126,96046,114928,4864,5269,203321,219758,182463,196825,8626,10018,6116,5801,1770,2043,551,612,3795,4459,185769,200646,10238,12004,8187,8137,2565,3070,881,1032
R,4.2,2020,65,3878435,1860874,2017561,1531923,1620460,199268,243046,17273,18615,88389,108695,3074,3294,20947,23451,1549290,1639561,204637,250106,28940,31886,95337,115863,5483,5974,1670621,1809251,1360376,1432578,191393,234074,11946,13580,86721,106866,2570,2725,17615,19428,1374847,1448171,195335,239372,21815,24751,92960,113165,4658,5050,190253,208310,171547,187882,7875,8972,5327,5035,1668,1829,504,569,3332,4023,174443,191390,9302,10734,7125,7135,2377,2698,825,924
R,4.2,2020,66,3720770,1775355,1945415,1472594,1573527,182287,228313,15976,17494,82400,101113,2727,3024,19371,21944,1488735,1591421,187145,234757,27022,30212,88605,107738,4883,5529,1601938,1752203,1316267,1399406,174976,219907,11123,12751,81002,99426,2271,2514,16299,18199,1329742,1414048,178532,224682,20532,23457,86535,105277,4168,4701,173417,193212,156327,174121,7311,8406,4853,4743,1398,1687,456,510,3072,3745,158993,177373,8613,10075,6490,6755,2070,2461,715,828
R,4.2,2020,67,3588140,1704400,1883740,1419601,1529486,169376,215105,14621,16471,80232,99336,2712,2909,17858,20433,1434436,1546171,173800,220978,24727,28359,86074,105523,4793,5281,1544895,1702437,1275682,1365706,162655,207251,10281,12091,78888,97742,2320,2441,15069,17206,1288083,1379599,165887,211736,18900,22266,84114,103180,4143,4506,159505,181303,143919,163780,6721,7854,4340,4380,1344,1594,392,468,2789,3227,146353,166572,7913,9242,5827,6093,1960,2343,650,775
R,4.2,2020,68,3467730,1642057,1825673,1377160,1489639,159231,206806,13677,15456,72964,91956,2404,2705,16621,19111,1390961,1505365,163337,212301,23414,26856,78109,97417,4354,4879,1492154,1655780,1241339,1336256,153223,199246,9766,11474,71727,90510,2045,2278,14054,16016,1252919,1349247,156261,203404,18045,21239,76355,95305,3753,4174,149903,169893,135821,153383,6008,7560,3911,3982,1237,1446,359,427,2567,3095,138042,156118,7076,8897,5369,5617,1754,2112,601,705
R,4.2,2020,69,3231898,1518408,1713490,1266357,1389251,150340,197925,12886,14536,70816,91415,2292,2462,15717,17901,1279426,1403795,154229,203193,22067,25168,75723,96663,4130,4553,1378517,1551733,1139798,1243069,144530,190920,9264,10664,69623,89951,1961,2093,13341,15036,1150790,1255129,147397,194937,17170,19774,74019,94541,3598,3888,139891,161757,126559,146182,5810,7005,3622,3872,1193,1464,331,369,2376,2865,128636,148666,6832,8256,4897,5394,1704,2122,532,665
R,4.2,2020,70,3140010,1472439,1667571,1229386,1354438,142509,188719,12392,13678,71054,91075,2353,2540,14745,17121,1241613,1368312,146167,193790,21181,23817,75510,96009,4092,4544,1341479,1514476,1110731,1215888,137152,182014,9064,10231,69992,89769,1981,2156,12559,14418,1121089,1227439,139936,185870,16612,18976,73948,94085,3520,3917,130960,153095,118655,138550,5357,6705,3328,3447,1062,1306,372,384,2186,2703,120524,140873,6231,7920,4569,4841,1562,1924,572,627
R,4.2,2020,71,3051868,1427521,1624347,1202556,1333202,131010,176262,11526,12868,66437,83546,2186,2376,13806,16093,1214011,1346429,134355,180878,19781,22623,70633,88042,3798,4169,1307446,1481413,1093618,1203563,126202,170174,8498,9670,65458,82330,1862,2034,11808,13642,1103339,1214666,128731,173701,15664,18177,69194,86268,3281,3600,120075,142934,108938,129639,4808,6088,3028,3198,979,1216,324,342,1998,2451,110672,131763,5624,7177,4117,4446,1439,1774,517,569
R,4.2,2020,72,3050717,1426953,1623764,1216572,1351121,122198,165102,10872,12118,61921,77578,1986,2119,13404,15726,1227766,1364124,125469,169545,19042,21671,65791,81951,3518,3892,1312231,1487057,1112383,1226931,117641,159373,8032,9206,60974,76427,1706,1804,11495,13316,1121903,1237818,120131,162788,15157,17488,64412,80273,3080,3368,114722,136707,104189,124190,4557,5729,2840,2912,947,1151,280,315,1909,2410,105863,126306,5338,6757,3885,4183,1379,1678,438,524
R,4.2,2020,73,3030712,1426486,1604226,1228905,1349732,113795,152376,10572,11694,58582,73470,1822,1882,12810,15072,1239747,1362294,116766,156495,18495,20962,62157,77563,3300,3562,1318175,1474382,1130166,1231624,109637,146926,7913,8957,57819,72378,1568,1604,11072,12893,1139491,1242262,111909,150112,14916,17060,60987,76015,2870,3102,108311,129844,98739,118108,4158,5450,2659,2737,763,1092,254,278,1738,2179,100256,120032,4857,6383,3579,3902,1170,1548,430,460
R,4.2,2020,74,2164076,993419,1170657,841133,967560,86102,121784,7820,8993,47133,59060,1602,1683,9629,11577,849119,977097,88443,125010,13516,15749,50059,62456,2817,3081,905638,1059555,761199,866445,82648,117103,5699,6685,46479,58181,1386,1455,8227,9686,767981,874341,84410,119504,10637,12457,49088,61141,2450,2702,87781,111102,79934,101115,3454,4681,2121,2308,654,879,216,228,1402,1891,81138,102756,4033,5506,2879,3292,971,1315,367,379
R,4.2,2020,75,2134174,977431,1156743,830965,959625,82956,118242,7480,8723,45267,57148,1398,1608,9365,11397,838827,969057,85172,121434,13035,15486,48003,60413,2621,2979,895474,1053066,756209,865125,79843,114036,5574,6570,44600,56291,1205,1373,8043,9671,762897,873064,81510,116457,10446,12445,47041,59160,2308,2588,81957,103677,74756,94500,3113,4206,1906,2153,667,857,193,235,1322,1726,75930,95993,3662,4977,2589,3041,962,1253,313,391
R,4.2,2020,76,2096686,953560,1143126,819032,960544,76596,110866,6877,8123,41344,51492,1269,1338,8442,10763,826157,969465,78455,113826,12025,14597,43777,54443,2336,2659,879420,1045944,751321,871673,73687,107054,5173,6217,40798,50710,1108,1170,7333,9120,757489,879171,75120,109309,9736,11842,42962,53295,2053,2346,74140,97182,67711,88871,2909,3812,1704,1906,546,782,161,168,1109,1643,68668,90294,3335,4517,2289,2755,815,1148,283,313
R,4.2,2020,77,2052880,927623,1125257,801372,951311,71712,106634,6316,7608,39080,48350,1101,1298,8042,10056,808150,959689,73604,109366,11302,13829,41260,51041,2057,2417,859601,1032923,739186,867128,69016,102752,4865,5740,38569,47652,973,1096,6992,8555,745075,874214,70461,104802,9313,11204,40505,50008,1812,2088,68022,92334,62186,84183,2696,3882,1451,1868,511,698,128,202,1050,1501,63075,85475,3143,4564,1989,2625,755,1033,245,329
R,4.2,2020,78,1756950,784806,972144,674175,816383,61813,94263,5606,6600,35222,44885,980,1140,7010,8873,680034,823780,63438,96665,9865,11964,37260,47328,1813,2131,724491,890892,619001,741864,59483,91169,4310,5022,34766,44261,849,955,6082,7621,624058,748168,60736,93030,8086,9731,36577,46413,1592,1848,60315,81252,55174,74519,2330,3094,1296,1578,456,624,131,185,928,1252,55976,75612,2702,3635,1779,2233,683,915,221,283
R,4.2,2020,79,1573426,695682,877744,595165,734929,55487,86433,5001,6071,32910,41379,895,1040,6224,7892,600377,741449,56877,88569,8785,10802,34761,43640,1671,1975,639829,801437,543977,664964,53350,83375,3821,4704,32501,40793,791,874,5389,6727,548479,670484,54400,85009,7167,8834,34140,42775,1475,1699,55853,76307,51188,69965,2137,3058,1180,1367,409,586,104,166,835,1165,51898,70965,2477,3560,1618,1968,621,865,196,276
R,4.2,2020,80,1434418,625330,809088,533023,674831,50667,81172,4479,5649,30537,38816,832,1029,5792,7591,537917,681132,51975,83297,7848,10123,32320,40950,1535,1951,573890,737272,485985,609111,48656,78301,3404,4314,30123,38263,712,848,5010,6435,490196,614419,49636,79891,6371,8200,31731,40140,1346,1656,51440,71816,47038,65720,2011,2871,1075,1335,414,553,120,181,782,1156,47721,66713,2339,3406,1477,1923,589,810,189,295
R,4.2,2020,81,1347640,582805,764835,500766,644333,44950,73203,3934,5128,27428,34620,687,909,5040,6642,505041,649890,46132,74952,6964,9109,28912,36503,1258,1700,536208,698343,458035,583366,43146,70511,3011,3924,27078,34127,585,768,4353,5647,461701,588072,44039,71821,5670,7405,28408,35767,1104,1450,46597,66492,42731,60967,1804,2692,923,1204,350,493,102,141,687,995,43340,61818,2093,3131,1294,1704,504,736,154,250
R,4.2,2020,82,1236115,527475,708640,452625,596257,40709,68095,3598,4708,25227,32725,655,871,4661,5984,456554,601229,41813,69747,6354,8163,26649,34443,1189,1588,484963,646981,413598,539777,39133,65573,2736,3607,24920,32263,550,712,4026,5049,416979,543933,39971,66832,5168,6597,26179,33764,1017,1335,42512,61659,39027,56480,1576,2522,862,1101,307,462,105,159,635,935,39575,57296,1842,2915,1186,1566,470,679,172,253
R,4.2,2020,83,1100340,462088,638252,396860,537511,35145,60948,3059,4148,22448,29446,580,700,3996,5499,400277,542099,36040,62442,5368,7367,23692,31020,1037,1355,423971,582346,361795,486052,33649,58812,2362,3144,22178,29012,507,595,3480,4731,364759,489972,34326,59964,4420,5984,23301,30412,914,1173,38117,55906,35065,51459,1496,2136,697,1004,270,434,73,105,516,768,35518,52127,1714,2478,948,1383,391,608,123,182
R,4.2,2020,84,1017505,420541,596964,361418,502348,32459,57920,2749,3852,19826,27078,497,658,3592,5108,364416,506577,33301,59328,4805,6837,20971,28538,962,1241,385751,545125,329367,454731,31136,55891,2104,2929,19592,26699,432,549,3120,4326,331961,458291,31764,56972,3926,5504,20625,27968,844,1065,34790,51839,32051,47617,1323,2029,645,923,234,379,65,109,472,782,32455,48286,1537,2356,879,1333,346,570,118,176
R,4.2,2020,85,922582,374296,548286,322522,463370,28151,52039,2387,3400,17612,24339,448,578,3176,4560,325235,467151,28863,53287,4199,6007,18586,25725,858,1120,343598,501165,294158,419987,27050,50224,1818,2544,17394,23989,395,488,2783,3933,296528,423230,27610,51192,3440,4835,18253,25219,768,964,30698,47121,28364,43383,1101,1815,569,856,218,350,53,90,393,627,28707,43921,1253,2095,759,1172,333,506,90,156
R,4.2,2020,86,792790,314996,477794,271559,403445,23346,45199,1958,2826,14995,21800,413,530,2725,3994,273875,406784,23978,46281,3468,5102,15894,22997,741,1019,288981,436913,247521,365763,22427,43641,1481,2130,14816,21495,354,458,2382,3426,249548,368614,22916,44475,2827,4133,15620,22558,644,883,26015,40881,24038,37682,919,1558,477,696,179,305,59,72,343,568,24327,38170,1062,1806,641,969,274,439,97,136
R,4.2,2020,87,729408,283095,446313,244543,377707,20760,41693,1715,2605,13433,20289,343,440,2301,3579,246472,380668,21300,42700,2980,4638,14203,21327,641,914,260663,409508,223799,343755,19945,40281,1313,1992,13267,20026,299,378,2040,3076,225497,346283,20384,41076,2438,3786,13972,20928,571,798,22432,36805,20744,33952,815,1412,402,613,166,263,44,62,261,503,20975,34385,916,1624,542,852,231,399,70,116
R,4.2,2020,88,655408,247961,407447,216637,349054,16475,35030,1393,2217,11228,17555,279,380,1949,3211,218311,351738,16944,35895,2468,4062,11856,18475,522,769,227937,374428,197976,318453,15867,33851,1053,1680,11092,17355,241,337,1708,2752,199439,320734,16234,34527,2008,3283,11657,18182,452,678,20024,33019,18661,30601,608,1179,340,537,136,200,38,43,241,459,18872,31004,710,1368,460,779,199,293,70,91
R,4.2,2020,89,585927,214742,371185,187664,318118,14013,31275,1186,2006,9849,16561,261,366,1769,2859,189154,320516,14418,32077,2160,3609,10449,17408,489,721,197281,341066,171432,290213,13450,30240,875,1491,9755,16358,234,307,1535,2457,172723,292261,13769,30859,1723,2900,10292,17095,438,627,17461,30119,16232,27905,563,1035,311,515,94,203,27,59,234,402,16431,28255,649,1218,437,709,157,313,51,94
R,4.2,2020,90,499033,176529,322504,153979,276208,11668,27613,1059,1670,8227,14281,215,313,1381,2419,155150,278204,12008,28303,1845,3043,8654,14980,384,611,161894,296627,140390,252177,11178,26723,796,1265,8145,14118,186,270,1199,2074,141410,253886,11442,27254,1490,2470,8517,14731,331,526,14635,25877,13589,24031,490,890,263,405,82,163,29,43,182,345,13740,24318,566,1049,355,573,137,249,53,85
R,4.2,2020,91,421407,142703,278704,124952,239689,9070,23232,783,1353,6570,12013,156,281,1172,2136,125931,241467,9347,23851,1431,2562,6944,12627,321,546,131325,257160,114360,219737,8706,22447,591,1001,6504,11876,139,247,1025,1852,115211,221262,8930,22938,1168,2078,6840,12424,283,487,11378,21544,10592,19952,364,785,192,352,66,137,17,34,147,284,10720,20205,417,913,263,484,104,203,38,59
R,4.2,2020,92,356579,115728,240851,101278,207567,7237,19774,616,1189,5536,10284,119,219,942,1818,102078,209092,7441,20262,1133,2233,5852,10789,248,465,106803,223172,92944,191193,6974,19143,461,903,5484,10167,105,186,835,1580,93653,192506,7140,19532,921,1830,5772,10614,221,401,8925,17679,8334,16374,263,631,155,286,52,117,14,33,107,238,8425,16586,301,730,212,403,80,175,27,64
R,4.2,2020,93,287922,89339,198583,77928,171189,5698,16123,475,987,4397,8629,96,171,745,1484,78548,172432,5894,16557,905,1830,4627,9031,184,350,82464,184228,71521,157926,5481,15576,374,745,4357,8537,84,147,647,1297,72058,159007,5635,15926,754,1499,4557,8894,158,304,6875,14355,6407,13263,217,547,101,242,40,92,12,24,98,187,6490,13425,259,631,151,331,70,137,26,46
R,4.2,2020,94,227694,66946,160748,58280,138267,4241,13234,357,755,3465,7128,53,142,550,1222,58745,139277,4383,13592,655,1440,3635,7477,128,297,61824,149447,53514,127801,4084,12824,264,574,3436,7048,46,123,480,1077,53920,128694,4194,13115,527,1190,3586,7358,110,258,5122,11301,4766,10466,157,410,93,181,29,80,7,19,70,145,4825,10583,189,477,128,250,49,119,18,39
R,4.2,2020,95,177977,49649,128328,42999,110578,3163,10255,259,623,2758,5763,56,133,414,976,43349,111394,3267,10562,487,1183,2897,6018,111,246,45945,119627,39549,102505,3052,9943,198,487,2733,5709,49,120,364,863,39858,103224,3134,10200,403,994,2857,5932,96,220,3704,8701,3450,8073,111,312,61,136,25,54,7,13,50,113,3491,8170,133,362,84,189,40,86,15,26
R,4.2,2020,96,133643,35769,97874,30845,84314,2252,7863,199,439,2114,4433,33,96,326,729,31110,84914,2338,8085,378,852,2227,4626,75,190,33105,91556,28359,78473,2174,7623,158,338,2096,4385,28,83,290,654,28597,79012,2245,7810,321,713,2198,4558,63,170,2664,6318,2486,5841,78,240,41,101,18,48,5,13,36,75,2513,5902,93,275,57,139,29,68,12,20
R,4.2,2020,97,96250,24592,71658,20954,61466,1622,5824,131,310,1622,3454,24,68,239,536,21161,61900,1686,5995,258,615,1702,3606,59,140,22717,67156,19218,57275,1560,5660,100,245,1605,3427,22,64,212,485,19403,57666,1613,5810,211,522,1679,3565,51,128,1875,4502,1736,4191,62,164,31,65,17,27,2,4,27,51,1758,4234,73,185,47,93,23,41,8,12
R,4.2,2020,98,70145,16629,53516,14257,46061,1003,4299,90,256,1106,2428,20,50,153,422,14385,46403,1053,4434,172,490,1157,2543,40,108,15484,50197,13184,42995,971,4183,74,206,1102,2411,17,42,136,360,13297,43285,1013,4293,147,413,1149,2505,34,93,1145,3319,1073,3066,32,116,16,50,4,17,3,8,17,62,1088,3118,40,141,25,77,8,38,6,15
R,4.2,2020,99,47326,10602,36724,8973,31264,674,3021,54,157,769,1943,11,39,121,300,9071,31503,708,3123,120,322,809,2027,29,81,9906,34583,8340,29275,650,2954,42,129,761,1930,8,36,105,259,8427,29482,677,3039,100,272,796,2004,22,72,696,2141,633,1989,24,67,12,28,8,13,3,3,16,41,644,2021,31,84,20,50,13,23,7,9
R,4.2,2020,100,77438,14643,62795,11836,51847,1079,5925,98,311,1436,4071,26,75,168,566,11968,52299,1133,6144,186,620,1492,4213,56,156,13685,59264,10961,48622,1047,5775,78,264,1430,4042,24,68,145,493,11077,49012,1093,5956,153,538,1478,4165,48,137,958,3531,875,3225,32,150,20,47,6,29,2,7,23,73,891,3287,40,188,33,82,14,48,8,19
R,5,2020,999,331492675,164206589,167286086,125546124,126163219,21597451,23294582,2171878,2123195,9717732,10483007,432673,417565,4740731,4804518,129774720,130425863,23751772,25524329,3545745,3553300,11484016,12237394,847646,834682,132735638,136632717,98052849,99435556,20027685,21683569,1190557,1219612,9390802,10158050,312618,305677,3761127,3830253,101406249,102830729,21720279,23445663,2159721,2249721,10888048,11644221,638360,634612,31470951,30653369,27493275,26727663,1569766,1611013,981321,903583,326930,324957,120055,111888,979604,974265,28368471,27595134,2031493,2078666,1386024,1303579,595968,593173,209286,200070
