,year,talent_pool,interest_lag10,talent_adj
0,1950,9.849939814825698,0.0846099853515625,0.8334032634461745
1,1951,10.231269291170033,0.086761474609375,0.887680010827527
2,1952,9.84422180508298,0.0891265869140625,0.8773818903120375
3,1953,9.156349636534204,0.0915374755859375,0.8381491313105573
4,1954,8.755670370718999,0.0938873291015625,0.8220465056004944
5,1955,9.57427384688357,0.095916748046875,0.918333212303316
6,1956,9.210674366125527,0.097564697265625,0.8986366561432895
7,1957,9.224316587673897,0.098602294921875,0.9095387846305653
8,1958,9.042196348703685,0.09906005859375,0.8957205001187794
9,1959,9.84503031090305,0.0989837646484375,0.974498163251161
10,1960,9.445529875598298,0.0984954833984375,0.9303420310514376
11,1961,9.865688122990662,0.0977020263671875,0.9638977211228822
12,1962,9.650716638012304,0.0966644287109375,0.9328810104645987
13,1963,10.55487750387921,0.0955047607421875,1.008041050671081
14,1964,11.00732854801572,0.0943145751953125,1.0381515160413386
15,1965,11.598213873832462,0.0931854248046875,1.0807844868086982
16,1966,12.00115037352334,0.09222412109375,1.1067955453121194
17,1967,12.977292056862245,0.0915374755859375,1.1879085548266084
18,1968,14.1724657238515,0.0910491943359375,1.2903915859103683
19,1969,15.140671896329883,0.0907745361328125,1.3743874681284556
20,1970,16.55826166627428,0.0907135009765625,1.5020578858337492
21,1971,17.600988340888502,0.090728759765625,1.5969158428180394
22,1972,17.5087467201885,0.0908203125,1.5901498486108698
23,1972,17.5087467201885,0.09100341796875,1.593355795886295
24,1973,18.170693405740895,0.0911712646484375,1.6566450973404212
25,1974,18.59279882410439,0.0912933349609375,1.6973986109102868
26,1975,18.75512323769806,0.091339111328125,1.7130762893808074
27,1976,19.399123502751326,0.0913238525390625,1.7716026941523237
28,1977,19.16935322500978,0.0912628173828125,1.7494491827206953
29,1978,20.349568931637297,0.0911865234375,1.8556064443277662
30,1979,22.099967295343564,0.0911407470703125,2.014207529527086
31,1980,21.980837239382115,0.0911407470703125,2.0033499272282316
32,1981,23.046887822866914,0.0912628173828125,2.1033239146204683
33,1982,22.849328128461515,0.0912628173828125,2.0852940603077443
34,1983,23.73901389942354,0.0914764404296875,2.171560490830141
35,1984,23.96886985415646,0.0919189453125,2.2031932373266376
36,1985,24.666412213906508,0.0925445556640625,2.282742158162582
37,1986,24.75790915213937,0.09344482421875,2.313498468745445
38,1987,23.809288386868356,0.0946044921875,2.2524656371854217
39,1988,22.979961191273485,0.09600830078125,2.206267025993237
40,1989,22.909595407398353,0.0976715087890625,2.237614749187574
41,1990,23.138202281109923,0.0996246337890625,2.3051349287928264
42,1991,22.641084767216853,0.1018524169921875,2.306049206866035
43,1992,23.020367148915035,0.1043853759765625,2.402989679958004
44,1993,23.420499692856183,0.1071929931640625,2.510513463475261
45,1994,24.107361992889768,0.110260009765625,2.658077968759483
46,1994,24.107361992889768,0.1136474609375,2.7397404803931122
47,1995,23.374564791489195,0.1173095703125,2.742060151931289
48,1996,22.0146476849373,0.121124267578125,2.666508076828496
49,1997,22.691551324591035,0.1249847412109375,2.8360976699787166
50,1998,24.069449548168162,0.1287994384765625,3.1001315862440104
51,1999,23.183866631500553,0.1324005126953125,3.069555828270421
52,2000,22.113651624347103,0.1356964111328125,3.0007431624651915
53,2001,21.216873303766853,0.1385650634765625,2.9399173961106384
54,2002,21.51401157991126,0.140899658203125,3.0313168781875697
55,2003,21.76909751499136,0.142578125,3.103797106629627
56,2004,22.45643724594305,0.142578125,3.201796716706724
57,2005,22.91601697291197,0.1435089111328125,3.2886526432836467
58,2006,24.330035224594045,0.1436920166015625,3.496031825408968
59,2007,25.269964102868048,0.1431732177734375,3.6179820736268753
60,2008,27.099434894836257,0.14202880859375,3.8489004516774883
61,2009,27.28333102153626,0.1403961181640625,3.830473766008837
62,2010,28.66024349552804,0.138275146484375,3.9629993676219955
63,2011,30.154560996894105,0.1357574462890625,4.09370619490611
64,2012,28.855673059129742,0.1329498291015625,3.8363568018218603
65,2013,29.400046411034538,0.1299285888671875,3.819906542815538
66,2014,29.598648583850817,0.1267242431640625,3.750866340467545
67,2015,31.270760666645103,0.1234283447265625,3.859698227424503
68,2016,30.353367241326566,0.1201934814453125,3.648276882323141
69,2017,30.189057809341193,0.1170196533203125,3.5327130789159793
70,2018,29.136575522513194,0.1140899658203125,3.324190905484484
71,2019,30.318800040975965,0.1114654541015625,3.379498814381858
72,2020,30.138603823177778,0.1092529296875,3.2927307643730606
73,2021,29.87564501349257,0.1075592041015625,3.213400599672075
74,2022,29.20903511805531,0.1064910888671875,3.1105019544816286
75,2023,27.795752728812015,0.1060943603515625,2.9489726062535087
